title,type,description,speakers,date,time_start,time_end,length_in_hours,room,event_id,event_url
Year in CAR (repeat),Panel,,"Lauren Grandestaff, Kaitlin Washburn",2017-03-05,09:00,10:00,1.0,River Terrace 1,2702/2928,https://ire.org/events-and-training/event/2702/2928/
Conference sales (Sunday),Special Event,,TBA,2017-03-05,09:00,10:30,1.5,3rd floor - Skybridge,2702/3007,https://ire.org/events-and-training/event/2702/3007/
Just enough Django: Distributed data entry in the newsroom (beginner/intermediate) *pre-registered attendees only,Hands-on,"Dana Amihere, Ken Schwencke and Ben Welsh present a step-by-step guide to creating a simple web application that empowers you to enlist reporters in data entry and refinement. The 3-hour, hands-on tutorial will teach you how to take advantage of the Django Web framework's powerful administration panel, without bothering with all the other web developer crap. You will learn how to design database tables, load in data and quickly create a system for others to improve its content.

Preregistration is required and seating is limited. Laptops will be provided for the training.

Workshop prerequisites: If you have a good attitude and know how to take a few code crashes in stride, you are qualified for this class.

NOTE: Registration is required for this session. Click here to sign up.","Dana Amihere, Ben Welsh",2017-03-05,09:00,12:30,3.5,City Terrace 6,2702/2884,https://ire.org/events-and-training/event/2702/2884/
OpenElections hackathon,Special Event,,"Derek Willis, Serdar Tumgoren",2017-03-05,09:00,12:30,3.5,City Terrace 12,2702/2990,https://ire.org/events-and-training/event/2702/2990/
ArcGIS Online and the power of Story Maps,Hands-on,,TBA,2017-03-05,10:15,11:15,1.0,City Terrace 5,2702/3092,https://ire.org/events-and-training/event/2702/3092/
Career roundtable,Panel,,TBA,2017-03-05,10:15,11:15,1.0,River Terrace 3,2702/3044,https://ire.org/events-and-training/event/2702/3044/
Data analysis in Javascript and Node.js,Hands-on,,Daniel Lathrop,2017-03-05,10:15,11:15,1.0,City Terrace 7,2702/3067,https://ire.org/events-and-training/event/2702/3067/
Let's get creepy: Backgrounding tips from a journalist and librarian,Panel,"Backgrounding sources can be a tedious and time-consuming process. But there's nothing worse that being caught off-guard in the moments before publication – or, even worse, after publication. We'll help you develop a list of go-to online tools and resources to speed up the process, and run through a couple scenarios to show you how they work in practice.","Sarah Hutchins, Lauren Grandestaff",2017-03-05,10:15,11:15,1.0,River Terrace 1,2702/2929,https://ire.org/events-and-training/event/2702/2929/
Programming best practices,Demo,,Jeff Larson,2017-03-05,10:15,11:15,1.0,River Terrace 2,2702/3120,https://ire.org/events-and-training/event/2702/3120/
Stats: Logistic regression (repeat session),Hands-on,,Jennifer LaFleur,2017-03-05,10:15,11:15,1.0,City Terrace 8,2702/3095,https://ire.org/events-and-training/event/2702/3095/
Flourish: Making reusable visualization templates,Demo,Speaker:,,2017-03-05,11:30,12:30,1.0,River Terrace 2,2702/3093,https://ire.org/events-and-training/event/2702/3093/
Getting data into Access,Hands-on,,Tracy Greer,2017-03-05,11:30,12:30,1.0,City Terrace 5,2702/3071,https://ire.org/events-and-training/event/2702/3071/
Google Fusion Tables (advanced),Hands-on,,Tommy Kaas,2017-03-05,11:30,12:30,1.0,City Terrace 8,2702/2970,https://ire.org/events-and-training/event/2702/2970/
"Outwit, outplay, outlast: How to pull off a student investigation",Panel,"Think you don't have the time or resources to pull off a data-driven or investigative story as a student? We'll prove you wrong. We'll be sharing our favorite tips, techniques and tools for student journalists. Learn how to outwit campus administrators, outplay FOIA exemptions and outlast sources who expect you to go away quietly after graduation.

**Moderated by Sarah Hutchins, IRE/NICAR","Briana Erickson, Sara Gregory, Samantha Sunne, Sarah Hutchins",2017-03-05,11:30,12:30,1.0,River Terrace 3,2702/3126,https://ire.org/events-and-training/event/2702/3126/
Social media sleuthing,Panel,"Discover the tactics and tricks of advanced searches in Facebook, LinkedIn, Twitter and Instagram. Tap the power of geolocation to find public social media posts by location, including near a specific address anywhere in the world. Learn how to monitor social platforms efficiently.",Doug Haddix,2017-03-05,11:30,12:30,1.0,River Terrace 1,2702/2930,https://ire.org/events-and-training/event/2702/2930/
